Price Date,Open Price,High Price,Low Price,Close Price,Traded Value,Number Of Trades,Traded Quantity
05-12-2013,3380,3399,3342,3351.3,2651753980,63034,789634
04-12-2013,3350,3386,3336.8,3365.35,3557629476,47466,1055390
03-12-2013,3320,3359.5,3320,3348.75,2931364681,45932,875155
02-12-2013,3352,3376.9,3325.1,3338.7,1971965857,35206,588922
29-11-2013,3336,3366,3310,3354.55,2268266533,61439,676445
28-11-2013,3301.4,3338,3265,3327.8,3091341157,61273,937496
27-11-2013,3320,3335.85,3285.8,3293.3,2797653328,63908,847453
26-11-2013,3320,3349,3292.65,3316.2,3033658182,47142,915137
25-11-2013,3352,3378.8,3307,3326,2374607584,63792,713412
22-11-2013,3346,3375,3336,3347.6,1141039124,25557,340117
21-11-2013,3396,3400,3313.1,3344.35,3546790758,85813,1061937
20-11-2013,3409,3443.3,3395,3402.2,1837696463,38084,538326
19-11-2013,3406,3448,3400.05,3442.95,3844974455,66445,1121901
18-11-2013,3391,3415,3387.85,3404.1,2688922028,53022,790817
14-11-2013,3352.3,3375,3350.05,3354.25,1825158573,33967,542941
13-11-2013,3316.05,3358.6,3316.05,3332.05,1958458797,45077,585939
12-11-2013,3362.5,3375,3328.1,3336.85,2702801003,50385,806523
11-11-2013,3350,3398,3340.1,3362.6,3285017231,55737,975400
08-11-2013,3350,3389.2,3350,3360.05,3623058087,42636,1077014
07-11-2013,3321.65,3399.95,3313.6,3357.6,3025495733,56518,899089
06-11-2013,3275.3,3312.2,3275.3,3306.15,1528602785,20832,463083
05-11-2013,3252,3290.55,3233,3265.85,2172231194,57858,665029
